date,high_yield_return,investment_grade_return,weight_high_yield,weight_investment_grade,turnover,leverage,net_return
2019-05-01 13:30:00+00:00,-0.0032802469713282267,-0.00031983383030420587,1.502267920013559,-1.5067298900690667,0.018043744521355487,3.0,-0.004784959044114169
2019-05-02 13:30:00+00:00,0.0006949799772721921,-0.00361871811465464,1.4941065375823959,-1.4920844889299971,0.0,3.0,0.006161159411674832
2019-05-03 13:30:00+00:00,0.0025478855179583704,0.004476559669236213,1.5027339858187911,-1.5035872672535373,0.0,3.0,-0.003207910297161302
2019-05-06 13:30:00+00:00,0.0004618432890497459,0.0013451438192619847,1.505933632446326,-1.5081190635817743,0.0,3.0,-0.0016638309730071892
2019-05-07 13:30:00+00:00,-0.0060030170614020495,-8.408902815215669e-05,1.5108669615675487,-1.5220693284566456,0.0,3.0,-0.009248646482837587
2019-05-08 13:30:00+00:00,0.00034836270186167084,-0.003359250854907403,1.503419118779072,-1.5089527925348853,0.0,3.0,0.0053040249294140675
2019-05-09 13:30:00+00:00,-0.001509832998907945,0.0009270019677110053,1.5071840192186994,-1.516423401757499,0.0,3.0,-0.004004031464902061
2019-05-10 13:30:00+00:00,0.002790866246367374,0.0005892726756127065,1.5069036459950216,-1.5128126726030517,0.0,3.0,0.0029774446706689597
2019-05-13 13:30:00+00:00,-0.009160955029152373,0.0005892603022035203,1.515884893872509,-1.5368044889900718,0.0,3.0,-0.015031434447178992
2019-05-14 13:30:00+00:00,0.0022230157655704907,0.0014291787256059951,1.5179824324949038,-1.5377120235135118,0.0,3.0,0.0008381502764708737
2019-05-15 13:30:00+00:00,0.0009348157150614878,0.0027708641856556415,1.5242441038609973,-1.5468873916393406,0.0,3.0,-0.003177074801039616
2019-05-16 13:30:00+00:00,0.003033056680362023,-0.0015912279458596412,1.5186176895270176,-1.5340721023740451,0.0,3.0,0.006749251748075009
2019-05-17 13:30:00+00:00,-0.00034871777891742894,8.423347082842092e-05,1.5195987637996113,-1.535728000033292,0.0,3.0,-0.000994106665718058
2019-05-20 13:30:00+00:00,-0.0009307861308068821,-0.0023481646530586486,1.5153712022568928,-1.5292828920312198,0.0,3.0,0.0018564032923372056
2019-05-21 13:30:00+00:00,0.0031437954212230057,0.0008402339314246277,1.5153712796174623,-1.5257712129909837,0.0,3.0,0.003143744210159145
2019-05-22 13:30:00+00:00,0.0008129943220891445,0.001260211500722308,1.5181610888526453,-1.5292632205699193,0.0,3.0,-0.001026123644213766
2019-05-23 13:30:00+00:00,-0.004987945051423415,0.0021811779912643825,1.5277658935221954,-1.5500264088622582,0.0,3.0,-0.011243416830280793
