open_time,PUT,BXM,BXMD,PPUT,CMBO
2020-12-10 00:00:00+00:00,1988.53,1459.67,3036.4,1282.28,2061.68
2020-12-11 00:00:00+00:00,1988.25,1460.1,3036.98,1280.76,2061.73
2020-12-14 00:00:00+00:00,1988.43,1460.4,3033.5,1275.3,2061.14
2020-12-15 00:00:00+00:00,1992.78,1462.48,3052.43,1291.3,2068.82
2020-12-16 00:00:00+00:00,1993.88,1463.88,3058.13,1293.31,2070.91
2020-12-17 00:00:00+00:00,1994.18,1463.45,3063.22,1300.75,2072.42
2020-12-18 00:00:00+00:00,2000.41,1455.5,3039.32,1299.34,2061.57
2020-12-21 00:00:00+00:00,1992.21,1450.65,3038.06,1292.19,2055.89
2020-12-22 00:00:00+00:00,1992.95,1453.34,3036.75,1288.76,2055.97
2020-12-23 00:00:00+00:00,1996.78,1455.86,3042.05,1288.42,2059.78
2020-12-24 00:00:00+00:00,2003.32,1460.62,3053.15,1291.63,2066.89
2020-12-28 00:00:00+00:00,2012.41,1467.75,3073.53,1299.72,2078.21
2020-12-29 00:00:00+00:00,2010.49,1465.24,3067.3,1297.22,2075.17
2020-12-30 00:00:00+00:00,2012.63,1467.77,3072.69,1298.38,2078.11
2020-12-31 00:00:00+00:00,2016.7,1472.29,3087.54,1307.38,2084.95
2021-01-04 00:00:00+00:00,2006.25,1462.37,3054.88,1288.62,2069.1
2021-01-05 00:00:00+00:00,2013.87,1469.62,3074.82,1296.03,2079.56
2021-01-06 00:00:00+00:00,2017.8,1471.94,3086.54,1303.1,2085.21
2021-01-07 00:00:00+00:00,2030.31,1481.7,3118.87,1320.32,2102.09
2021-01-08 00:00:00+00:00,2032.54,1483.35,3127.1,1327.21,2105.77
2021-01-11 00:00:00+00:00,2031.83,1482.94,3121.53,1318.48,2103.81
2021-01-12 00:00:00+00:00,2034.09,1484.96,3128.6,1318.76,2107.43
2021-01-13 00:00:00+00:00,2035.5,1485.67,3135.58,1321.68,2109.98
2021-01-14 00:00:00+00:00,2035.84,1484.78,3135.24,1316.79,2110.32
2021-01-15 00:00:00+00:00,2035.44,1483.07,3127.14,1307.49,2106.62
2021-01-19 00:00:00+00:00,2044.29,1491.25,3148.25,1314.8,2117.82
2021-01-20 00:00:00+00:00,2056.09,1498.94,3173.08,1329.51,2132.18
2021-01-21 00:00:00+00:00,2057.26,1499.6,3175.37,1329.52,2133.21
2021-01-22 00:00:00+00:00,2056.1,1499.52,3172.9,1325.48,2131.95
2021-01-25 00:00:00+00:00,2058.33,1500.85,3178.12,1329.94,2134.65
2021-01-26 00:00:00+00:00,2057.44,1500.18,3175.76,1327.96,2133.51
2021-01-27 00:00:00+00:00,2027.74,1475.76,3112.06,1304.19,2097.33
2021-01-28 00:00:00+00:00,2039.59,1487.59,3141.04,1313.15,2113.07
2021-01-29 00:00:00+00:00,2021.54,1473.91,3104.77,1294.71,2085.29
2021-02-01 00:00:00+00:00,2043.1,1490.51,3142.7,1306.41,2115.88
2021-02-02 00:00:00+00:00,2058.83,1501.73,3176.46,1319.34,2134.59
2021-02-03 00:00:00+00:00,2063.29,1504.39,3180.82,1319.03,2139.28
2021-02-04 00:00:00+00:00,2071.38,1511.77,3203.91,1331.58,2150.34
2021-02-05 00:00:00+00:00,2075.07,1513.08,3213.67,1336.08,2154.83
2021-02-08 00:00:00+00:00,2077.82,1516.53,3223.97,1345.49,2159.02
2021-02-09 00:00:00+00:00,2078.02,1515.3,3223.14,1344.21,2158.98
2021-02-10 00:00:00+00:00,2077.83,1515.54,3222.43,1343.87,2158.73
2021-02-11 00:00:00+00:00,2079.19,1516.85,3228.42,1346.08,2161.11
2021-02-12 00:00:00+00:00,2081.35,1518.1,3234.82,1352.22,2164.43
2021-02-16 00:00:00+00:00,2079.52,1519.27,3238.6,1353.21,2164.14
2021-02-17 00:00:00+00:00,2081.97,1518.56,3238.96,1351.31,2165.59
2021-02-18 00:00:00+00:00,2082.24,1519.0,3240.08,1345.3,2165.71
2021-02-19 00:00:00+00:00,2076.25,1514.04,3229.21,1344.57,2158.81
2021-02-22 00:00:00+00:00,2067.97,1507.28,3209.08,1336.18,2147.87
2021-02-23 00:00:00+00:00,2070.13,1509.7,3213.52,1336.72,2150.49
2021-02-24 00:00:00+00:00,2084.77,1520.65,3244.9,1347.82,2168.6
2021-02-25 00:00:00+00:00,2044.94,1492.05,3174.11,1327.8,2125.14
2021-02-26 00:00:00+00:00,2050.23,1489.2,3157.02,1319.52,2119.08
2021-03-01 00:00:00+00:00,2081.0,1517.84,3233.8,1340.63,2161.71
2021-03-02 00:00:00+00:00,2070.9,1509.79,3211.37,1331.8,2148.96
2021-03-03 00:00:00+00:00,2051.57,1495.37,3172.98,1319.3,2126.07
2021-03-04 00:00:00+00:00,2030.37,1479.05,3133.15,1307.71,2101.74
2021-03-05 00:00:00+00:00,2062.53,1504.44,3192.82,1323.05,2138.4
2021-03-08 00:00:00+00:00,2054.71,1498.07,3176.56,1317.18,2128.9
2021-03-09 00:00:00+00:00,2077.55,1515.24,3220.1,1329.56,2155.33
2021-03-10 00:00:00+00:00,2089.11,1523.77,3239.56,1335.17,2167.84
2021-03-11 00:00:00+00:00,2101.78,1533.8,3270.01,1347.42,2184.61
2021-03-12 00:00:00+00:00,2106.8,1536.88,3276.48,1348.12,2189.38
2021-03-15 00:00:00+00:00,2113.42,1542.76,3297.02,1356.43,2199.7
2021-03-16 00:00:00+00:00,2113.48,1542.08,3294.17,1354.41,2198.77
2021-03-17 00:00:00+00:00,2117.13,1544.74,3304.11,1358.06,2203.99
2021-03-18 00:00:00+00:00,2110.54,1538.41,3259.06,1338.13,2185.47
2021-03-19 00:00:00+00:00,2112.35,1542.32,3260.59,1338.09,2189.53
2021-03-22 00:00:00+00:00,2124.71,1549.71,3280.3,1344.0,2202.55
2021-03-23 00:00:00+00:00,2115.99,1543.56,3262.89,1335.71,2192.18
2021-03-24 00:00:00+00:00,2111.26,1539.25,3249.3,1329.59,2185.15
2021-03-25 00:00:00+00:00,2119.16,1544.98,3264.79,1334.27,2194.45
2021-03-26 00:00:00+00:00,2132.88,1556.2,3301.58,1353.94,2213.94
2021-03-29 00:00:00+00:00,2131.24,1554.68,3299.19,1353.09,2212.29
2021-03-30 00:00:00+00:00,2133.03,1555.29,3297.03,1348.1,2212.48
2021-03-31 00:00:00+00:00,2137.62,1556.71,3304.75,1352.13,2217.45
2021-04-01 00:00:00+00:00,2143.59,1564.26,3328.99,1366.92,2228.72
2021-04-05 00:00:00+00:00,2147.34,1568.24,3343.03,1386.38,2235.39
2021-04-06 00:00:00+00:00,2147.7,1567.26,3342.58,1385.06,2235.42
