,spot,spot,spot,spot,spot,perp,perp,perp,perp,perp
,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT
funding_time,,,,,,,,,,
2020-08-29 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-29 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-29 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-30 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-30 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-30 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-31 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-31 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-31 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-01 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-01 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-01 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-02 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-02 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-02 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-03 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998
2020-09-03 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-03 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-04 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-04 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-04 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08
2020-09-05 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998
2020-09-05 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08
2020-09-05 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-06 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-06 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-09-06 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-09-07 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-07 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-07 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-08 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-08 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-08 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
2020-09-09 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08
