date,low_beta_return,high_beta_return,market_return,beta_low,beta_high,weight_low,weight_high,gross_exposure,turnover,leverage,net_return
2012-03-27 13:30:00+00:00,0.00035429246945040127,-0.00583764195136971,-0.0031067457885598504,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-03-28 13:30:00+00:00,-0.0035414047463149245,-0.009936572628748919,-0.004958636359764235,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-29 13:30:00+00:00,-0.003198032962251851,-0.005018610715566085,-0.0017082141630874181,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-03-30 13:30:00+00:00,0.006417120293909395,0.0041265661576253,0.004135747796985889,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-02 13:30:00+00:00,0.00566779532735362,0.010959056154584035,0.007314766891365121,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-03 13:30:00+00:00,-0.004931348930412804,-0.00948493329771094,-0.004088874109991925,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-04 13:30:00+00:00,0.0,-0.01823999898378703,-0.009911091294250385,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-05 13:30:00+00:00,-0.0007079949085861958,-0.005109311361534585,-0.000500326467039458,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-09 13:30:00+00:00,-0.007084788368384554,-0.019141006132014637,-0.011231121965842528,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-10 13:30:00+00:00,-0.012129669644088681,-0.024749874601818656,-0.016784978573135323,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-11 13:30:00+00:00,0.005778145880425356,0.012200870038767686,0.008094383465238497,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-12 13:30:00+00:00,0.007181367646015069,0.029411860281125746,0.013065592303592055,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-13 13:30:00+00:00,-0.004990856266525179,-0.02248232371991321,-0.011888294260097632,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-16 13:30:00+00:00,0.0007165301410836378,-0.0023957218882929565,-0.0006564732230860404,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-17 13:30:00+00:00,0.013247299274143476,0.019212124946197173,0.014812311023146618,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-18 13:30:00+00:00,-0.0007066558122263977,-0.0127239011070448,-0.003379499605163816,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-19 13:30:00+00:00,-0.008133082928019286,-0.001909173361391181,-0.006420977237904135,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-20 13:30:00+00:00,0.009269203419794536,-0.005738798143214319,0.0016703364420229683,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-23 13:30:00+00:00,-0.007417706144182357,-0.01298717577580022,-0.00840926840307532,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-04-24 13:30:00+00:00,0.0010675279373340008,0.009746777349395108,0.0038017495095301612,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-25 13:30:00+00:00,0.00959839315736044,0.01592616558120663,0.013691185745108525,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-26 13:30:00+00:00,0.008802884520312304,0.011876824503872063,0.006969309777306032,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-27 13:30:00+00:00,0.0020943299668743087,0.0004692394997773963,0.0016410486360078913,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-04-30 13:30:00+00:00,-0.003831362995496579,-0.005630763119576887,-0.0037042605926329575,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-01 13:30:00+00:00,0.006293536871370797,0.011325614354704916,0.006220395504387799,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-02 13:30:00+00:00,0.0,-0.009332894301103734,-0.002984368727061426,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-03 13:30:00+00:00,-0.003474522940420166,-0.019311681790789237,-0.007625502466256595,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-04 13:30:00+00:00,-0.01115798796082279,-0.023054959964444066,-0.016157816404420378,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-07 13:30:00+00:00,0.00105791727421356,-0.0019663193126728817,0.0007300094696409687,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-08 13:30:00+00:00,-0.001761302806663645,-0.008867364034470748,-0.004011873594032878,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-09 13:30:00+00:00,-0.00423395098121937,-0.0024852496225453713,-0.005931783487468256,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-10 13:30:00+00:00,0.004606636804871611,-0.005978429744887492,0.0020628416520711568,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-11 13:30:00+00:00,0.0007053213151957394,-0.0035093116573693406,-0.0030143944956535496,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-14 13:30:00+00:00,-0.00881219395994437,-0.02012089214743462,-0.011061300092811921,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-15 13:30:00+00:00,-0.0007110904546824282,-0.0159135644659143,-0.0057416003532664295,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-16 13:30:00+00:00,0.0021350558746680015,-0.016171018333521414,-0.0038246626802965755,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-17 13:30:00+00:00,-0.015270052591687122,-0.022799638411435508,-0.01483094949345054,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-18 13:30:00+00:00,-0.007933266765962621,-0.016277699155388348,-0.008558701796362755,,,0.0,0.0,0.0,0.0,2.0,-0.0
2012-05-21 13:30:00+00:00,0.009451057632180015,0.029784895266015576,0.01718815292542608,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-22 13:30:00+00:00,0.0018001764582795676,0.0005357012322511068,0.001743039639760413,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-05-23 13:30:00+00:00,0.0032354460108219296,0.003746998892190101,0.0005294643705016089,,,0.0,0.0,0.0,0.0,2.0,0.0
