symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
AAPL,A01_ts_momentum_120,trend,False,-0.06933547971225558,0.0,0.4730579935923707,0.30980182174456994,0.005790973481451846,1.0636562928091178,2391,251,False,False,True,True,True,True,True
AAPL,A16_momentum_ensemble,trend,False,-0.034215536517889014,0.0,0.49402713012857963,0.219827494551162,0.015982502666005014,1.0358080689745388,2463,251,False,False,True,True,True,True,True
AAPL,A24_skip_momentum_72_6,trend,False,-0.03414173997086366,0.16666666666666666,0.600614491438726,0.27138580718140504,0.008769094887696463,1.0333646919880068,2433,251,False,False,False,True,True,True,True
AAPL,A24_skip_momentum_120_6,trend,False,-0.053481278559518876,0.0,0.5405958493594663,0.34649612386708917,0.0057436021380323195,1.333699376407125,2385,251,False,False,False,True,True,True,True
AAPL,A24_skip_momentum_168_6,trend,False,-0.02471965462450491,0.16666666666666666,0.33799782818142965,0.31222682272879443,0.002994908931557902,1.8124826369343143,2337,251,False,False,True,True,True,True,True
AAPL,A25_sign_tsmom_24,trend,False,-0.059181227927818325,0.16666666666666666,0.6007037046864864,0.2452198750045011,0.012632221282772527,1.3199215092715535,2487,251,False,False,False,True,True,True,True
AAPL,A25_sign_tsmom_72,trend,False,-0.011241247621099626,0.16666666666666666,0.47719728349387586,0.21709150895644932,0.005992686844258529,1.6735783965786442,2439,251,False,False,True,True,True,True,True
AAPL,A25_sign_tsmom_168,trend,False,-0.042760196901296496,0.3333333333333333,0.3363443573511839,0.29889833191538756,0.002573151763721949,1.7283725035295987,2343,251,False,False,True,True,True,True,True
AAPL,A02_ema_distance_20,trend,False,-0.03393692673647496,0.3333333333333333,0.510768273751109,0.26821004900030243,0.036194910176442795,0.6178042163983473,2492,251,False,False,False,True,True,True,True
AAPL,A02_ema_distance_50,trend,False,-0.035385091236016505,0.16666666666666666,0.4703317513267126,0.2504565826113902,0.018759821210777836,1.0985408218868358,2462,251,False,False,True,True,True,True,True
AAPL,A02_ema_distance_100,trend,False,-0.050645805523186385,0.0,0.3744332549611287,0.25699013187651043,0.0120159850460725,1.0734416117365506,2412,251,False,False,True,True,True,True,True
AAPL,A03_donchian_breakout_20,trend,False,-0.014416795834874912,0.5,0.6686318110096406,0.3073023007364457,0.20584046298921366,-0.08937490301609188,2512,251,False,False,False,True,True,True,True
AAPL,A08_trend_quality,trend,False,-0.011944088460245918,0.3333333333333333,0.72380020259261,0.30698726520522296,0.018797777415288923,0.24150070194381024,2452,251,False,False,False,True,True,True,True
AAPL,A09_efficiency_ratio_20,trend,False,-0.021965710354785378,0.16666666666666666,0.46648546581016753,0.2353410321500898,0.029872578457563144,0.6263977177305431,2491,251,False,False,True,True,True,True,True
AAPL,A04_short_reversion_1,mean_reversion,False,0.001144191823162193,0.5,1.0,0.486681315214149,0.12190900343775579,-0.1742977617328595,2411,251,True,False,False,True,True,True,True
AAPL,A04_short_reversion_2,mean_reversion,False,0.0025884097224506816,0.5,0.7931109716009273,0.48695578796111255,0.08294181537569113,0.47966332026721076,2410,251,True,False,False,True,True,True,True
AAPL,A04_short_reversion_3,mean_reversion,False,0.007614099176088128,0.5,0.5651848280317471,0.4021570988067076,0.06884269389058943,0.5231045520354201,2409,251,True,False,False,True,True,True,True
AAPL,A04_short_reversion_6,mean_reversion,True,0.02552294970634459,0.6666666666666666,0.29438298098704163,0.2841936155704647,0.04414759453086338,0.31322016046644097,2406,251,True,True,True,True,True,True,True
AAPL,A05_bollinger_reversion_20,mean_reversion,False,0.002300784890758663,0.5,0.438130207126945,0.3149586111241272,0.03340102053002695,0.21914042979187603,2492,251,True,False,True,True,True,True,True
AAPL,A06_rsi_reversion_14,mean_reversion,True,0.029004147943198055,0.8333333333333334,0.30995846224452966,0.20756886909809436,0.035575544608695775,0.5476639680858364,2497,251,True,True,True,True,True,True,True
AAPL,A17_mean_reversion_ensemble,mean_reversion,False,0.010722270717554955,0.6666666666666666,0.6563817878858811,0.42121491382736814,0.06253635411863984,0.3468807859699776,2497,251,True,True,False,True,True,True,True
AAPL,A07_volatility_compression,regime,True,0.027490743924516316,0.6666666666666666,0.3657159749225763,0.40060157663439,0.016144355924824508,0.5974745649059121,2411,251,True,True,True,True,True,True,True
AAPL,A07_atr_percentile,regime,False,-0.022100065840635872,0.3333333333333333,0.5927294484580298,0.30823417071286063,0.007678170080275024,0.4314833796046561,2249,251,False,False,False,True,True,True,True
AAPL,A15_volatility_adjusted_breakout_20,trend,True,0.017514160722066272,0.6666666666666666,0.37714526208589855,0.3689743103716917,0.18974894499751827,-0.05533339862601164,2312,251,True,True,True,True,True,True,True
AAPL,A10_volume_surprise_48,trend,False,-0.010977859369446917,0.5,0.6630210191900876,0.5351163662224997,0.14260735440955138,-0.12923604502392255,2464,251,False,False,False,True,True,True,True
AAPL,A11_signed_volume_pressure_6,trend,False,-0.030048984695176938,0.3333333333333333,0.7009644509430772,0.28849798825053125,0.06431951098903829,0.08733387266960266,2506,251,False,False,False,True,True,True,True
AAPL,A12_close_location_value_10,trend,False,-0.03675672750222094,0.0,0.5447072755611518,0.35607611683424795,0.048232532789276146,0.013000790570660836,2502,251,False,False,False,True,True,True,True
AAPL,A13_intraday_range_position_10,trend,False,-0.03675672750222095,0.0,0.5447072755611518,0.35607611683424795,0.04823253278927615,0.013000790570660732,2502,251,False,False,False,True,True,True,True
AAPL,A14_gap_proxy,trend,False,-0.010693762397361216,0.3333333333333333,0.7643821709368638,0.7246900926788113,0.1343192195838384,-0.5437020201200162,2510,251,False,False,False,False,True,True,True
AAPL,A26_chan_pivot_position,trend,False,-0.046121377544376896,0.16666666666666666,0.4196872750719624,0.2865707781285617,0.02035110703833097,1.259762538110453,2480,251,False,False,True,True,True,True,True
