open_time,GROWTH,SVRPO,VXTH
2023-11-02 00:00:00+00:00,24.699294977687536,750.87,476.72
2023-11-03 00:00:00+00:00,24.7279815728388,747.09,481.01
2023-11-06 00:00:00+00:00,24.85538771550209,748.06,481.67
2023-11-07 00:00:00+00:00,25.05920524446939,746.68,482.9
2023-11-08 00:00:00+00:00,25.130826895969005,747.36,483.38
2023-11-09 00:00:00+00:00,25.39306277760116,752.49,479.52
2023-11-10 00:00:00+00:00,25.942271817651303,742.59,486.98
2023-11-13 00:00:00+00:00,25.67021941248405,744.76,486.56
2023-11-14 00:00:00+00:00,25.77651444479528,720.8,495.94
2023-11-15 00:00:00+00:00,26.448831475347966,718.54,496.62
2023-11-16 00:00:00+00:00,25.99357366865223,718.27,496.85
2023-11-17 00:00:00+00:00,26.12032004418791,718.06,497.06
2023-11-20 00:00:00+00:00,26.575163944583394,702.97,500.38
2023-11-21 00:00:00+00:00,26.01015141449445,709.41,499.09
2023-11-22 00:00:00+00:00,26.5327651232431,702.55,501.23
2023-11-24 00:00:00+00:00,26.581773970501573,702.46,500.79
2023-11-27 00:00:00+00:00,26.437049509813356,707.47,499.76
2023-11-28 00:00:00+00:00,26.642972131651966,706.14,500.01
2023-11-29 00:00:00+00:00,26.628521395535838,708.24,499.87
2023-11-30 00:00:00+00:00,26.53815585571256,699.74,501.63
2023-12-01 00:00:00+00:00,26.854283459780483,699.57,504.23
2023-12-04 00:00:00+00:00,27.551523659727923,700.77,501.48
2023-12-05 00:00:00+00:00,28.128918823703533,701.23,500.88
2023-12-06 00:00:00+00:00,27.932484678502405,701.67,498.88
2023-12-07 00:00:00+00:00,28.087381594809685,701.51,502.75
2023-12-08 00:00:00+00:00,28.382863712535077,701.84,504.25
2023-12-11 00:00:00+00:00,27.819866216288933,702.27,505.92
2023-12-12 00:00:00+00:00,28.078433239742342,702.53,508.23
2023-12-13 00:00:00+00:00,28.725992058389732,698.66,515.21
2023-12-14 00:00:00+00:00,28.741430696951856,698.12,516.72
2023-12-15 00:00:00+00:00,28.601083449984973,699.95,516.58
2023-12-18 00:00:00+00:00,28.955457455718705,698.52,518.79
2023-12-19 00:00:00+00:00,29.011036325650778,694.78,521.77
2023-12-20 00:00:00+00:00,28.924565892911232,701.98,514.1
2023-12-21 00:00:00+00:00,29.2786279693981,698.89,519.4
2023-12-22 00:00:00+00:00,29.345057435726776,699.17,520.26
2023-12-26 00:00:00+00:00,29.17944624713183,699.6,522.47
2023-12-27 00:00:00+00:00,29.444181026464964,699.96,523.26
2023-12-28 00:00:00+00:00,29.232195147629042,702.0,523.51
2023-12-29 00:00:00+00:00,28.980247899809818,706.02,522.05
2024-01-02 00:00:00+00:00,29.17895221010395,707.26,519.11
2024-01-03 00:00:00+00:00,28.415131229452665,706.99,514.97
2024-01-04 00:00:00+00:00,28.565042567784083,707.16,513.28
