symbol,alpha_name,horizon_bars,year,observations,mean_forward_return,ic
BTCUSDT,A08_trend_quality,3,2024,2196,0.0012576133607295407,0.02687278655401988
BTCUSDT,A08_trend_quality,3,2025,2190,4.417841494311725e-05,-0.002280465469450291
BTCUSDT,A08_trend_quality,3,2026,1513,-0.00011655845457381627,0.04433122241769667
BTCUSDT,A08_trend_quality,6,2020,2137,0.004270158884252381,0.007004351699295676
BTCUSDT,A08_trend_quality,6,2021,2190,0.0022771476562700043,0.022848965337588036
BTCUSDT,A08_trend_quality,6,2022,2190,-0.0023203712562343257,-0.07725115101865182
BTCUSDT,A08_trend_quality,6,2023,2190,0.00288717323800612,0.12740732034409272
BTCUSDT,A08_trend_quality,6,2024,2196,0.0025029389862192184,0.029265168298160085
BTCUSDT,A08_trend_quality,6,2025,2190,6.568478702372625e-05,0.001249386565996031
BTCUSDT,A08_trend_quality,6,2026,1510,-0.00022039457616562338,0.06096561385881007
BTCUSDT,A09_efficiency_ratio_20,1,2020,2176,0.0007402783239376003,0.0252527696033868
BTCUSDT,A09_efficiency_ratio_20,1,2021,2190,0.00038809867329112416,-0.02339910062885001
BTCUSDT,A09_efficiency_ratio_20,1,2022,2190,-0.0003892610753551619,0.020518372827244367
BTCUSDT,A09_efficiency_ratio_20,1,2023,2190,0.00046951690234148203,0.047066294673992724
BTCUSDT,A09_efficiency_ratio_20,1,2024,2196,0.00042397674881828327,0.008433189574262565
BTCUSDT,A09_efficiency_ratio_20,1,2025,2190,1.4375098166262898e-05,-0.013868484743906737
BTCUSDT,A09_efficiency_ratio_20,1,2026,1515,-4.405507064441999e-05,0.020486564029915232
BTCUSDT,A09_efficiency_ratio_20,3,2020,2176,0.002205043746790435,0.046487908806680196
BTCUSDT,A09_efficiency_ratio_20,3,2021,2190,0.0011285121386776311,-0.039672881362971535
BTCUSDT,A09_efficiency_ratio_20,3,2022,2190,-0.0011631806419079573,0.02733031344935743
BTCUSDT,A09_efficiency_ratio_20,3,2023,2190,0.0014166642013055905,0.07732924056869839
BTCUSDT,A09_efficiency_ratio_20,3,2024,2196,0.0012576133607295407,0.019536155197664457
BTCUSDT,A09_efficiency_ratio_20,3,2025,2190,4.417841494311725e-05,-0.023232251036380908
BTCUSDT,A09_efficiency_ratio_20,3,2026,1513,-0.00011655845457381627,0.03265144774887501
BTCUSDT,A09_efficiency_ratio_20,6,2020,2176,0.0044689766627849375,0.03576840846110078
BTCUSDT,A09_efficiency_ratio_20,6,2021,2190,0.0022771476562700043,-0.05481696207337306
BTCUSDT,A09_efficiency_ratio_20,6,2022,2190,-0.0023203712562343257,0.024266445190360128
BTCUSDT,A09_efficiency_ratio_20,6,2023,2190,0.00288717323800612,0.08190775890160704
BTCUSDT,A09_efficiency_ratio_20,6,2024,2196,0.0025029389862192184,0.023692879821250235
BTCUSDT,A09_efficiency_ratio_20,6,2025,2190,6.568478702372625e-05,-0.028065800489241646
BTCUSDT,A09_efficiency_ratio_20,6,2026,1510,-0.00022039457616562338,0.038397430291878455
BTCUSDT,A04_short_reversion_1,1,2020,2096,0.0006744685270879271,-0.0018627088025516664
BTCUSDT,A04_short_reversion_1,1,2021,2190,0.00038809867329112416,0.05897099800532582
BTCUSDT,A04_short_reversion_1,1,2022,2190,-0.0003892610753551619,-0.021998822850944153
BTCUSDT,A04_short_reversion_1,1,2023,2190,0.00046951690234148203,-0.02277243359399316
BTCUSDT,A04_short_reversion_1,1,2024,2196,0.00042397674881828327,0.027478002546244974
BTCUSDT,A04_short_reversion_1,1,2025,2190,1.4375098166262898e-05,-0.01673906296731694
BTCUSDT,A04_short_reversion_1,1,2026,1515,-4.405507064441999e-05,-0.011430974281923302
BTCUSDT,A04_short_reversion_1,3,2020,2096,0.002001204556260813,-0.023343466448305365
BTCUSDT,A04_short_reversion_1,3,2021,2190,0.0011285121386776311,-0.002419088829112764
BTCUSDT,A04_short_reversion_1,3,2022,2190,-0.0011631806419079573,-0.02698680844629169
