symbol,alpha_name,regime,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
BTCUSDT,A11_signed_volume_pressure_6,ranging,trend,False,-0.031107284581456732,0.3333333333333333,inf,inf,0.38331341635171845,-1.2895414379657604,4865,487,False,False,False,False,True,True,True
BTCUSDT,A12_close_location_value_10,ranging,trend,False,-0.004158788614989157,0.5,inf,inf,0.3443137747624849,-0.8275996604886592,4865,487,False,False,False,False,True,True,True
BTCUSDT,A13_intraday_range_position_10,ranging,trend,False,-0.004158788614989134,0.5,inf,inf,0.3443137747624851,-0.8275996604886593,4865,487,False,False,False,False,True,True,True
BTCUSDT,A14_gap_proxy,ranging,trend,False,0.006925847987045996,0.5,1.0,1.0,0.4082262740948842,-0.010934090673924805,4865,487,True,False,False,False,True,True,True
BTCUSDT,A20_market_breadth_24,ranging,regime,False,-0.05981407347365422,0.0,inf,inf,0.34118143772940573,-4.39317284284382,4865,487,False,False,False,False,True,True,True
BTCUSDT,A23_cross_sectional_relative_strength_24,ranging,relative_value,False,0.03491607097878309,0.8333333333333334,inf,inf,0.29780254607043755,-1.7993232733118127,4865,487,True,True,False,False,True,True,True
BTCUSDT,A21_funding_rate_crowding_90,ranging,mean_reversion,False,0.027734303226301868,0.8333333333333334,inf,inf,0.30527664731556253,-1.1521487481426416,4865,487,True,True,False,False,True,True,True
BTCUSDT,A22_funding_rate_trend_21,ranging,trend,False,-0.011148233011947175,0.3333333333333333,1.0,inf,0.18289258947851542,-1.4426584343607702,4865,487,False,False,False,False,True,True,True
ETHUSDT,A01_ts_momentum_12,trending,trend,False,0.026223006053696166,1.0,0.6952119712643041,0.5674881568922144,0.10925084439140285,-0.17225206140002797,4768,477,True,True,False,True,True,True,True
ETHUSDT,A01_ts_momentum_24,trending,trend,False,0.018588226333533103,1.0,0.5567148753430115,0.5080689603578006,0.09574001345370367,-0.0035303366108960788,4768,477,True,True,False,True,True,True,True
ETHUSDT,A01_ts_momentum_48,trending,trend,False,0.023665889125045962,1.0,0.6725700526972503,0.46517674851176155,0.10190494986476958,-0.2029649216015782,4768,477,True,True,False,True,True,True,True
ETHUSDT,A01_ts_momentum_72,trending,trend,False,0.036807738880095545,0.8333333333333334,0.7628910559268024,0.4591340203878509,0.10647641639872182,0.1055129005896549,4768,477,True,True,False,True,True,True,True
ETHUSDT,A01_ts_momentum_120,trending,trend,False,0.012865838147605769,0.8333333333333334,0.6430404897302684,0.4764129281884108,0.11013236476007723,-0.2733248222628517,4768,477,True,True,False,True,True,True,True
ETHUSDT,A16_momentum_ensemble,trending,trend,False,0.02357897693726194,0.8333333333333334,0.6533566722749536,0.37378430648580774,0.0913935455890278,0.5490483427828204,4768,477,True,True,False,True,True,True,True
ETHUSDT,A02_ema_distance_20,trending,trend,False,0.033665471922610164,1.0,0.7475269046798885,0.6550367350344818,0.11129565059832927,-0.12718475246289293,4768,477,True,True,False,False,True,True,True
ETHUSDT,A02_ema_distance_50,trending,trend,False,0.030845797296253884,1.0,0.6398158673135486,0.3164188635537951,0.09208209314660758,0.22650846032615857,4768,477,True,True,False,True,True,True,True
ETHUSDT,A02_ema_distance_100,trending,trend,False,0.03389473431545052,0.8333333333333334,0.6254056159695439,0.29310669738374323,0.09120977013642213,0.5545226709421948,4768,477,True,True,False,True,True,True,True
ETHUSDT,A03_donchian_breakout_20,trending,trend,False,0.03345597181394136,1.0,inf,inf,0.3919574333520814,-0.4330753591915948,4768,477,True,True,False,False,True,True,True
ETHUSDT,A08_trend_quality,trending,trend,False,0.025941973682873612,0.8333333333333334,0.7043604393095143,0.4096126769440038,0.0697118880661458,0.1503757731743673,4768,477,True,True,False,True,True,True,True
ETHUSDT,A09_efficiency_ratio_20,trending,trend,False,0.02900088602690957,1.0,0.8006994566548441,0.9348522318305509,0.10366774285109707,-0.28641659049588175,4768,477,True,True,False,False,True,True,True
ETHUSDT,A04_short_reversion_1,trending,mean_reversion,False,-0.01726453805740001,0.0,inf,1.0,0.311076717676298,-2.6481692793142546,4768,477,False,False,False,False,True,True,True
ETHUSDT,A04_short_reversion_2,trending,mean_reversion,False,-0.04838981883448859,0.0,inf,0.9872232104818299,0.23433191860699223,-2.1683151343412868,4768,477,False,False,False,False,True,True,True
ETHUSDT,A04_short_reversion_3,trending,mean_reversion,False,-0.06007346112086676,0.0,inf,1.0,0.192394688635789,-2.055253489892943,4768,477,False,False,False,False,True,True,True
ETHUSDT,A04_short_reversion_6,trending,mean_reversion,False,-0.037136493036336184,0.16666666666666666,1.0,0.8177034336460132,0.14342821786976323,-1.3566427628210165,4768,477,False,False,False,False,True,True,True
ETHUSDT,A05_bollinger_reversion_20,trending,mean_reversion,False,-0.03559919247935338,0.0,inf,1.0,0.11146032856061547,-1.7813354035302962,4768,477,False,False,False,False,True,True,True
ETHUSDT,A06_rsi_reversion_14,trending,mean_reversion,False,-0.028479663070650425,0.0,inf,1.0,0.09145889460641324,-1.8675558227847584,4768,477,False,False,False,False,True,True,True
ETHUSDT,A17_mean_reversion_ensemble,trending,mean_reversion,False,-0.046630904462851994,0.0,inf,0.8723590682606431,0.1590871677056847,-1.7641672216957736,4768,477,False,False,False,False,True,True,True
ETHUSDT,A07_volatility_compression,trending,regime,False,-0.048723620163111436,0.0,inf,inf,0.1752887931108768,-1.048005203706234,4768,477,False,False,False,False,True,True,True
ETHUSDT,A07_atr_percentile,trending,regime,False,-0.010249458817273542,0.3333333333333333,0.9562111106298551,1.0,0.07397279370322561,-0.3084997076789747,4768,477,False,False,False,False,True,True,True
ETHUSDT,A15_volatility_adjusted_breakout_20,trending,trend,False,0.03223903568389831,0.8333333333333334,inf,1.0,0.4330182775587573,-0.23861978145441157,4768,477,True,True,False,False,True,True,True
ETHUSDT,A10_volume_surprise_48,trending,trend,False,0.04908340679688175,1.0,inf,inf,0.3539614424381223,-1.8158744239884563,4768,477,True,True,False,False,True,True,True
ETHUSDT,A11_signed_volume_pressure_6,trending,trend,False,0.019757840937877212,1.0,inf,inf,0.16911931610548575,-0.7252581219177134,4768,477,True,True,False,False,True,True,True
ETHUSDT,A12_close_location_value_10,trending,trend,False,-0.005895904841774477,0.3333333333333333,1.0,1.0,0.16611706744724056,-0.6251683412252445,4768,477,False,False,False,False,True,True,True
ETHUSDT,A13_intraday_range_position_10,trending,trend,False,-0.005895904841774486,0.3333333333333333,1.0,1.0,0.16611706744724053,-0.6251683412252442,4768,477,False,False,False,False,True,True,True
ETHUSDT,A14_gap_proxy,trending,trend,False,-0.0003432525304083692,0.5,inf,0.5245188145368846,0.26592204827954075,-0.008043701066798001,4768,477,False,False,False,True,True,True,True
ETHUSDT,A18_btc_lead_eth_lag_1,trending,cross_asset,False,0.0360797730407135,0.8333333333333334,inf,inf,0.3425653717472213,-1.9040263875199026,4768,477,True,True,False,False,True,True,True
ETHUSDT,A18_btc_lead_eth_lag_2,trending,cross_asset,False,0.032215256692977465,1.0,inf,inf,0.2729742766810659,-1.7618309251715623,4768,477,True,True,False,False,True,True,True
ETHUSDT,A18_btc_lead_eth_lag_3,trending,cross_asset,False,0.05928664850858759,1.0,0.5291590818243742,inf,0.22493573401424835,-1.1448671888245907,4768,477,True,True,False,False,True,True,True
ETHUSDT,A19_relative_strength_btc_eth_24,trending,relative_value,False,-0.005803727438771014,0.5,1.0,1.0,0.14458787313149893,-1.8711611534152315,4768,477,False,False,False,False,True,True,True
ETHUSDT,A20_market_breadth_24,trending,regime,False,0.025264420238624533,0.8333333333333334,0.5670022608276402,0.5343955593925444,0.10394060911855879,0.009659175461435632,4768,477,True,True,False,True,True,True,True
ETHUSDT,A23_cross_sectional_relative_strength_24,trending,relative_value,False,0.015845295277978122,0.8333333333333334,1.0,0.6874475179043742,0.11051931457161769,-0.7688506559489576,4768,477,True,True,False,False,True,True,True
ETHUSDT,A21_funding_rate_crowding_90,trending,mean_reversion,False,0.03022689166543572,1.0,0.6621896518175279,1.0,0.1556922264676204,-0.4989734244457588,4768,477,True,True,False,False,True,True,True
ETHUSDT,A22_funding_rate_trend_21,trending,trend,False,-0.02643195551908073,0.16666666666666666,1.0,1.0,0.08356118041173857,-0.05155663089719026,4768,477,False,False,False,False,True,True,True
ETHUSDT,A01_ts_momentum_12,mixed,trend,False,0.0016078524628668905,0.5,inf,inf,0.31354806765912396,-4.359197454997998,4748,475,True,False,False,False,True,True,True
ETHUSDT,A01_ts_momentum_24,mixed,trend,False,-0.039047731791058624,0.16666666666666666,inf,inf,0.2723530018933655,-5.410900833144666,4748,475,False,False,False,False,True,True,True
ETHUSDT,A01_ts_momentum_48,mixed,trend,False,0.034690971321464245,0.6666666666666666,inf,inf,0.26606845646503396,-5.310928560890455,4748,475,True,True,False,False,True,True,True
ETHUSDT,A01_ts_momentum_72,mixed,trend,False,-0.011466341357941771,0.5,inf,inf,0.2508464234510253,-5.17572810791876,4748,475,False,False,False,False,True,True,True
ETHUSDT,A01_ts_momentum_120,mixed,trend,False,-0.018442351630479095,0.3333333333333333,inf,inf,0.24769916790606394,-5.348451135782154,4748,475,False,False,False,False,True,True,True
ETHUSDT,A16_momentum_ensemble,mixed,trend,False,-0.01397131485735891,0.5,1.0,inf,0.2634756991898326,-3.464155491316657,4748,475,False,False,False,False,True,True,True
ETHUSDT,A02_ema_distance_20,mixed,trend,False,-0.0029514269795494407,0.3333333333333333,inf,inf,0.3128264467680199,-2.2385940324694933,4748,475,False,False,False,False,True,True,True
ETHUSDT,A02_ema_distance_50,mixed,trend,False,-0.020879688711590103,0.5,inf,inf,0.2723176033412469,-2.9455835105759185,4748,475,False,False,False,False,True,True,True
ETHUSDT,A02_ema_distance_100,mixed,trend,False,-0.021882819653117707,0.3333333333333333,inf,inf,0.25558878296294657,-3.516171963727036,4748,475,False,False,False,False,True,True,True
ETHUSDT,A03_donchian_breakout_20,mixed,trend,False,0.0016538443715719004,0.6666666666666666,0.6295558151097445,1.0,0.5652984204696525,-0.20064583753321344,4748,475,True,True,False,False,True,True,True
ETHUSDT,A08_trend_quality,mixed,trend,False,-0.024300193155272206,0.5,1.0,inf,0.24419071968090983,-0.33816406858024084,4748,475,False,False,False,False,True,True,True
