open_time,net_pnl,equity,position,turnover,cost,trading_cost,borrow_cost,financing_cost,rebalanced
2017-11-03 13:30:00+00:00,-0.000757347324622578,1.0083201261997323,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-06 14:30:00+00:00,0.010980599914630258,1.019392086091401,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-07 14:30:00+00:00,-0.006843428869798538,1.012415948859799,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-08 14:30:00+00:00,-0.0005111116919682742,1.0118984912312017,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-09 14:30:00+00:00,-0.009669120495852553,1.0021143227899159,4.000000000000001,0.0,0.0004880324732466716,0.0,1.1841997056195255e-05,0.00047619047619047635,False
2017-11-10 14:30:00+00:00,-0.01246101469722269,0.9896269614853334,3.9999999999999996,3.3311970739353347,0.002820630627927413,0.0023318379517547343,1.260219998220276e-05,0.00047619047619047614,True
2017-11-13 14:30:00+00:00,-0.001510373567918226,0.9881322550806066,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
2017-11-14 14:30:00+00:00,-0.01272066870075995,0.9755625520311915,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
2017-11-15 14:30:00+00:00,-0.006916366930412357,0.9688152034577743,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
2017-11-16 14:30:00+00:00,0.015494730382702205,0.9838267338260153,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
2017-11-17 14:30:00+00:00,0.0011399310052527393,0.9849482284237,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
2017-11-20 14:30:00+00:00,0.0032911120461966755,0.9881898034031453,3.9999999999999996,0.0,0.0004887926761726789,0.0,1.260219998220276e-05,0.00047619047619047614,False
