open_time,net_pnl,base_return,risk_position,gross_exposure,turnover,filter_trading_cost,financing_cost,equity
2019-11-01 00:00:00+00:00,0.008710583626001535,0.008710583626001535,1.0,1.0,0.0,0.0,0.0,4.359992880997238
2019-11-04 00:00:00+00:00,0.010383441056774398,0.010383441056774398,1.0,1.0,0.0,0.0,0.0,4.4052646100850295
2019-11-05 00:00:00+00:00,-0.0026027594834787996,-0.0026027594834787996,1.0,1.0,0.0,0.0,0.0,4.393798765843897
2019-11-06 00:00:00+00:00,-0.0006702315505219522,-0.0006702315505219522,1.0,1.0,0.0,0.0,0.0,4.390853903284384
2019-11-07 00:00:00+00:00,-0.0015746466156780648,-0.0015746466156780648,1.0,1.0,0.0,0.0,0.0,4.383939860045641
2019-11-08 00:00:00+00:00,-0.017292860948618653,-0.017292860948618653,1.0,1.0,0.0,0.0,0.0,4.3081289976387644
2019-11-11 00:00:00+00:00,-0.0028150578456124747,-0.0028150578456124747,1.0,1.0,0.0,0.0,0.0,4.296001365304051
2019-11-12 00:00:00+00:00,0.0043231171980075925,0.0043231171980075925,1.0,1.0,0.0,0.0,0.0,4.314573482689061
2019-11-13 00:00:00+00:00,-0.0006427971722048016,-0.0006427971722048016,1.0,1.0,0.0,0.0,0.0,4.3118000870551185
2019-11-14 00:00:00+00:00,-0.004554258550785444,-0.004554258550785444,1.0,1.0,0.0,0.0,0.0,4.292163034639371
2019-11-15 00:00:00+00:00,-0.005879366895463742,-0.005879366895463742,1.0,1.0,0.0,0.0,0.0,4.266927833383579
2019-11-18 00:00:00+00:00,-0.00736697750220429,-0.00736697750220429,1.0,1.0,0.0,0.0,0.0,4.2354934720315125
2019-11-19 00:00:00+00:00,-0.0040522052066124924,-0.0040522052066124924,1.0,1.0,0.0,0.0,0.0,4.218330383331573
2019-11-20 00:00:00+00:00,-0.00415620888214533,-0.00415620888214533,1.0,1.0,0.0,0.0,0.0,4.200798121124547
2019-11-21 00:00:00+00:00,-0.0016254418772302752,-0.0016254418772302752,1.0,1.0,0.0,0.0,0.0,4.1939699679406806
2019-11-22 00:00:00+00:00,0.0005648810709785381,0.0005648810709785381,1.0,1.0,0.0,0.0,0.0,4.196339062187823
2019-11-25 00:00:00+00:00,0.007239061398737786,0.007239061398737786,1.0,1.0,0.0,0.0,0.0,4.226716618308923
2019-11-26 00:00:00+00:00,0.0012523129387963083,0.0012523129387963083,1.0,1.0,0.0,0.0,0.0,4.232009790218656
2019-11-27 00:00:00+00:00,0.004221761552776139,0.004221761552776139,1.0,1.0,0.0,0.0,0.0,4.249876326441974
2019-11-29 00:00:00+00:00,-0.0027853098725401674,-0.0027853098725401674,1.0,1.0,0.0,0.0,0.0,4.23803910395286
2019-12-02 00:00:00+00:00,-0.0067212058988963,-0.0067212058988963,1.0,1.0,0.0,0.0,0.0,4.209554370527619
